Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
Trinidad and Tobago,Latin America and Caribbean,43,6.168,5.95,6.386,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2.97,0.497,159,1.75,35,1.63,73.3,0.925,,266,0.228,53.3,,TTO
Venezuela,Latin America and Caribbean,44,6.084,5.973,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,,,87.4,2.32,17,,60,0.454,,35.8,1.33,88.2,,VEN
Slovakia,Central and Eastern Europe,45,6.078,5.996,6.16,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,,,,,,,,,,,,,,SVK
El Salvador,Latin America and Caribbean,46,6.068,5.967,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,,5.95,152,2.08,36,0.624,29,0.922,,306,1.65,70.5,42.2,SLV
Malaysia,Southeastern Asia,47,6.005,5.921,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,3.44,8.66,139,2.04,49,1.95,78.8,1.41,,94.9,2.34,74.8,45.5,MYS
Nicaragua,Latin America and Caribbean,48,5.992,5.877,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,,14.9,126,2.2,26,4.89,24.6,0.643,,51.1,1.45,58.1,,NIC
Uzbekistan,Central and Eastern Europe,49,5.987,5.896,6.078,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,5.16,16.1,74,2.29,21,7.38,46.8,,,73.9,1.54,50.6,,UZB
Italy,Western Europe,50,5.977,5.898,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,11.7,1.89,145,1.47,47,0.848,61.3,1.52,,202,0.246,69.9,36.6,ITA
Ecuador,Latin America and Caribbean,51,5.976,5.88,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,4.6,9.54,84.7,2.49,31,0.909,54.1,2.55,,66,1.69,63.5,37.9,ECU
Belize,Latin America and Caribbean,52,5.956,5.71,6.202,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,7.91,10.6,61.9,2.51,,2.84,44.6,1.26,,16.1,2.31,45.5,48.4,BLZ
Japan,Eastern Asia,53,5.921,5.85,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,3.1,1.15,131,1.46,72,0.274,93.2,0.942,,350,-0.0321,91.5,38.8,JPN
